num,playerid,name,pos,ht,wt,from,Seasons,class,season4,htft,htin
0,506,T.M. Grant ,G ,0-0 ,0 ,,1906 ,,1906 ,0,0 
0,507,T.A. Holton ,,0-0 ,0 ,,1906 ,,1906 ,0,0 
0,505,C.R. Pugh ,G ,0-0 ,0 ,,1906 ,,1906 ,0,0 
0,501,B.S. Womble ,,0-0 ,0 ,,1906 ,,1906 ,0,0 
0,502,C.R. Claywell ,F ,0-0 ,0 ,,1906-07 ,,1907 ,0,0 
0,503,Garland Greever ,F ,0-0 ,0 ,,1906-07 ,,1907 ,0,0 
0,522,Spence ,G ,0-0 ,0 ,,1907 ,,1907 ,0,0 
0,500,T.G. Stem ,C ,0-0 ,0 ,,1906-07 ,,1907 ,0,0 
0,530,D.S. Elias ,,0-0 ,0 ,,1908 ,,1908 ,0,0 
0,528,Gantt ,,0-0 ,0 ,,1908 ,,1908 ,0,0 
0,525,W.B. Kiker ,,0-0 ,0 ,,1908 ,,1908 ,0,0 
0,508,Bill Lilly ,,0-0 ,0 ,,1907-08 ,,1908 ,0,0 
0,529,Armfield ,,0-0 ,0 ,,1908-09 ,,1909 ,0,0 
0,524,O.B. Baxter ,F ,0-0 ,0 ,,1907-09 ,,1909 ,0,0 
0,532,C. Flowers ,,0-0 ,0 ,,1908-09 ,,1909 ,0,0 
0,535,Suiter ,,0-0 ,0 ,,1909 ,,1909 ,0,0 
0,526,Tuttle ,,0-0 ,0 ,,1908-09 ,,1909 ,0,0 
0,533,W. West ,,0-0 ,0 ,,1909 ,,1909 ,0,0 
0,527,Scott ,,0-0 ,0 ,,1908-10 ,,1910 ,0,0 
0,531,Smith ,,0-0 ,0 ,,1908-10 ,,1910 ,0,0 
0,536,Stewart ,,0-0 ,0 ,,1909-10 ,,1910 ,0,0 
0,537,J.E. Brinn ,,0-0 ,0 ,,1910-11 ,,1911 ,0,0 
0,510,H.G. Hendrick ,,0-0 ,0 ,,1909-11 ,,1911 ,0,0 
0,509,P.J. Kirker ,,0-0 ,0 ,,1907-11 ,,1911 ,0,0 
0,523,Puryear ,G ,0-0 ,0 ,,1907-11 ,,1911 ,0,0 
0,511,C.B. Brinn ,,0-0 ,0 ,,1911-12 ,,1912 ,0,0 
0,541,Cherry ,,0-0 ,0 ,,1912 ,,1912 ,0,0 
0,540,Crowell ,,0-0 ,0 ,,1912 ,,1912 ,0,0 
0,539,Houston ,,0-0 ,0 ,,1911-12 ,,1912 ,0,0 
0,534,E.L. Jones ,,0-0 ,0 ,,1909-12 ,,1912 ,0,0 
0,538,Moore ,,0-0 ,0 ,,1911-12 ,,1912 ,0,0 
0,504,L.G. White ,G ,0-0 ,0 ,,1906-12 ,,1912 ,0,0 
0,512,Hip Martin ,,0-0 ,0 ,,1917 ,,1917 ,0,0 
0,544,F.C. Aldridge ,G ,0-0 ,0 ,,1919 ,,1919 ,0,0 
0,545,J.M. Barrett ,,0-0 ,0 ,,1919 ,,1919 ,0,0 
0,546,W.S. Carver ,,0-0 ,0 ,,1919 ,,1919 ,0,0 
0,542,H.P. Cole ,F ,0-0 ,0 ,,1919 ,,1919 ,0,0 
0,547,M.H. Jeffries ,,0-0 ,0 ,,1919 ,,1919 ,0,0 
0,543,F.M. Page ,C ,0-0 ,0 ,,1919 ,,1919 ,0,0 
0,549,G.B. Starling ,F ,0-0 ,0 ,,1919 ,,1919 ,0,0 
0,513,L.B. Hathaway ,,0-0 ,0 ,,1919-21 ,,1921 ,0,0 
0,514,O.L. Richardson ,,0-0 ,0 ,,1922 ,,1922 ,0,0 
0,515,James Simpson ,,0-0 ,0 ,,1923 ,,1923 ,0,0 
0,516,L.E. Spikes ,,0-0 ,0 ,,1924 ,,1924 ,0,0 
0,57,E.J. Bullock ,,0-0 ,0 ,,1923-26 ,,1926 ,0,0 
0,170,W.R. Hartness ,,0-0 ,0 ,,1926 ,,1926 ,0,0 
0,271,P.E. Moss ,,0-0 ,0 ,,1925-26 ,,1926 ,0,0 
0,63,M.W. Butler ,,0-0 ,0 ,,1926-27 ,,1927 ,0,0 
0,313,Sam Rowe ,,0-0 ,0 ,,1927 ,,1927 ,0,0 
0,29,C.G. Bennett ,,0-0 ,0 ,,1926-28 ,,1928 ,0,0 
0,209,D.L. Kelley ,,0-0 ,0 ,,1926-28 ,,1928 ,0,0 
0,296,W.S. Ragens ,,0-0 ,0 ,,1928 ,,1928 ,0,0 
0,364,C.C. Weaver ,,0-0 ,0 ,,1926-28 ,,1928 ,0,0 
0,66,Coke Candler ,,0-0 ,0 ,,1927-29 ,,1929 ,0,0 
0,201,John Jankoski ,,0-0 ,0 ,,1928-29 ,,1929 ,0,0 
0,97,Harry Councilor ,,0-0 ,0 ,,1928-30 ,,1930 ,0,0 
0,132,Roland Farley ,,0-0 ,0 ,,1928-30 ,,1930 ,0,0 
0,347,Robert Thorne ,,0-0 ,0 ,,1929-30 ,,1930 ,0,0 
0,370,Bill Werber ,,0-0 ,0 ,,1928-30 ,,1930 ,0,0 
0,69,Theodore Capelli ,,0-0 ,0 ,,1931 ,,1931 ,0,0 
0,100,Joe Croson ,,0-0 ,0 ,,1929-31 ,,1931 ,0,0 
0,306,Shaw Robert ,,0-0 ,0 ,,1931 ,,1931 ,0,0 
0,310,George Rogers ,,0-0 ,0 ,,1927-31 ,,1931 ,0,0 
32,2,Roy Alpert ,,0-0 ,0 ,,1932 ,,1932 ,0,0 
0,71,Pete Carter ,,0-0 ,0 ,,1930-32 ,,1932 ,0,0 
0,88,Nelson Colley ,,0-0 ,0 ,,1931-32 ,,1932 ,0,0 
0,145,Garber ,,0-0 ,0 ,,1930-32 ,,1932 ,0,0 
0,325,John Shaw ,,0-0 ,0 ,,1930-32 ,,1932 ,0,0 
0,83,D. Clark ,,0-0 ,0 ,,1933 ,,1933 ,0,0 
0,171,R.C. Hayes ,,0-0 ,0 ,,1932-33 ,,1933 ,0,0 
0,188,O.W. Horne ,,0-0 ,0 ,,1931-33 ,,1933 ,0,0 
0,229,Henry Lewis ,,0-0 ,0 ,,1932-33 ,,1933 ,0,0 
0,134,James Ferguson ,,0-0 ,0 ,,1934 ,,1934 ,0,0 
0,176,Horace Hendrickson ,,0-0 ,0 ,,1934 ,,1934 ,0,0 
0,249,Cornelius McGillicuddy ,,0-0 ,0 ,,1934 ,,1934 ,0,0 
0,344,Herb Thompson ,,0-0 ,0 ,,1932-34 ,,1934 ,0,0 
40,345,James Thompson ,C ,0-0 ,0 ,,1932-34 ,,1934 ,0,0 
0,365,Phil Weaver ,,0-0 ,0 ,,1932-34 ,,1934 ,0,0 
0,26,Sam Bell ,,0-0 ,0 ,,1933-35 ,,1935 ,0,0 
0,107,William Davis ,,0-0 ,0 ,,1935 ,,1935 ,0,0 
0,244,Reynolds May ,,0-0 ,0 ,,1933-35 ,,1935 ,0,0 
0,275,Peter Naktenis ,,0-0 ,0 ,,1935 ,,1935 ,0,0 
0,369,William Wentz ,,0-0 ,0 ,,1935 ,,1935 ,0,0 
42,192,Billy Huiskamp ,F ,5-6 ,0 ,"Keokuk, Iowa ",1934-36 ,,1936 ,5,6 
45,220,Charles Kunkle ,F ,6-2 ,0 ,"Johnstown, Pa. ",1934-36 ,,1936 ,6,2 
0,291,Ernest Polack ,,0-0 ,0 ,,1934-36 ,,1936 ,0,0 
0,421,Ashby ,,0-0 ,0 ,,1937 ,,1937 ,0,0 
47,77,Herbert Cheek ,G ,6-0 ,0 ,"Durham, N.C. ",1935-37 ,Sr.,1937 ,6,0 
50,178,Albert Herrick ,C ,6-3 ,0 ,"Lebanon, Ohio ",1935-37 ,Sr.,1937 ,6,3 
53,285,Ace Parker ,G ,5-11 ,0 ,"Portsmouth, Va. ",1936-37 ,Jr.,1937 ,5,11 
51,290,Ken Podger ,G ,5-9 ,0 ,"Kenmore, N.Y. ",1935-37 ,Sr.,1937 ,5,9 
48,304,Joe Riley ,F ,6-2 ,0 ,"Collingsdale, Pa. ",1935-37 ,Sr.,1937 ,6,2 
54,125,Mouse Edwards ,F/C ,6-2 ,0 ,"Bloomsburg, Pa. ",1936-38 ,Sr.,1938 ,6,2 
48,175,Abe Hendrickson ,G ,5-10 ,0 ,"Beaver Falls, Pa. ",1938 ,,1938 ,5,10 
49,185,John Hoffman ,G ,6-1 ,0 ,"Fort Wayne, Ind. ",1935-38 ,,1938 ,6,1 
55,305,Spencer Robb ,G ,6-2 ,0 ,"Athens, Tenn. ",1938 ,,1938 ,6,2 
52,381,Bob Wood ,F ,5-11 ,0 ,"Harrisburg, Pa. ",1936-38 ,,1938 ,5,11 
0,422,Zavlaris ,,0-0 ,0 ,,1938 ,,1938 ,0,0 
44,30,Sparky Bergman ,F ,5-8 ,0 ,"Madison, N.J. ",1937-39 ,,1939 ,5,8 
0,423,Lauteres ,,0-0 ,0 ,,1939 ,,1939 ,0,0 
52,283,Bob O'Mara ,C ,6-2 ,0 ,"Ashland, Ky. ",1937-39 ,,1939 ,6,2 
40,340,Ed Swindell ,F ,5-11 ,0 ,"Durham, N.C. ",1937-39 ,,1939 ,5,11 
50,40,Jim Bowman ,C ,6-2 ,185 ,"Harrisburg, Pa. ",1938-40 ,Sr.,1940 ,6,2 
49,425,Lou Dubois ,F ,6-2 ,185 ,"Duquesne, Pa. ",1940 ,Jr.,1940 ,6,2 
42,139,Bill Flentye ,F ,6-2 ,180 ,"Aurora, Ill. ",1938-40 ,Sr.,1940 ,6,2 
40,424,John Heath ,F ,5-10 ,175 ,"Albany, N.Y. ",1940 ,Jr.,1940 ,5,10 
47,183,Lang Hobgood ,C ,6-6 ,175 ,"Durham, N.C. ",1938-40 ,Sr.,1940 ,6,6 
46,263,Stoop Minor ,C ,6-3 ,0 ,"Batavia, N.Y. ",1937-40 ,,1940 ,6,3 
41,287,Bill Parsons ,F ,5-10 ,160 ,"Altoona, Pa. ",1938-40 ,Sr.,1940 ,5,10 
43,343,Jim Thomas ,G ,6-0 ,0 ,"Durham, N.C. ",1937-40 ,,1940 ,6,0 
60,46,Ray Brown ,F ,6-3 ,170 ,"Baltimore, Md. ",1940-41 ,Jr.,1941 ,6,3 
49,92,Tom Connelly ,G ,5-9 ,155 ,"Altoona, Pa. ",1939-41 ,Sr.,1941 ,5,9 
61,98,Tom Cowdrick ,G ,5-8 ,165 ,"Philadelphia, Pa. ",1939-41 ,Sr.,1941 ,5,8 
55,186,Chuck Holley ,C ,6-3 ,180 ,"Ford City, Pa. ",1939-41 ,Sr.,1941 ,6,3 
43,264,Bill Mock ,F ,6-2 ,190 ,"Altoona, Pa. ",1940-41 ,Jr.,1941 ,6,2 
52,272,Bob Moyer ,G ,6-0 ,150 ,"Harrisburg, Pa. ",1939-41 ,Sr.,1941 ,6,0 
53,294,Glenn Price ,F ,5-10 ,175 ,"Beaver Falls, Pa. ",1939-41 ,Sr.,1941 ,5,10 
